// HALF-LIFE SPEECH SYSTEM SENTENCES. DO NOT MODIFY THIS FILE! Max of 1023 sentences.

// HUMAN GRUNTS
HG_GREN0 sentences/HG_GREN0
HG_GREN1 sentences/HG_GREN1
HG_GREN2 sentences/HG_GREN2
HG_GREN3 sentences/HG_GREN3
HG_GREN4 sentences/HG_GREN4
HG_GREN5 sentences/HG_GREN5
HG_GREN6 sentences/HG_GREN6

// Player Alert
HG_ALERT0 sentences/HG_ALERT1
HG_ALERT1 sentences/HG_ALERT1
HG_ALERT2 sentences/HG_ALERT2
HG_ALERT3 sentences/HG_ALERT3
HG_ALERT4 sentences/HG_ALERT2
HG_ALERT5 sentences/HG_ALERT3
HG_ALERT6 sentences/HG_ALERT6

// Monster Alert
HG_MONST0 sentences/HG_MONST0
HG_MONST1 sentences/HG_MONST1
HG_MONST2 sentences/HG_MONST2
HG_MONST3 sentences/HG_MONST3

// Take cover
HG_COVER0 sentences/HG_COVER0
HG_COVER1 sentences/HG_COVER1
HG_COVER2 sentences/HG_COVER2
HG_COVER3 sentences/HG_COVER3
HG_COVER4 sentences/HG_COVER4
HG_COVER5 sentences/HG_COVER5
HG_COVER6 sentences/HG_COVER6
HG_COVER7 sentences/HG_COVER7

// Throw grenade
HG_THROW0 sentences/HG_THROW0
HG_THROW1 sentences/HG_THROW1
HG_THROW2 sentences/HG_THROW2
HG_THROW3 sentences/HG_THROW3
 
// Taunt
HG_TAUNT0 sentences/HG_TAUNT0
HG_TAUNT1 sentences/HG_TAUNT1
HG_TAUNT2 sentences/HG_TAUNT2
HG_TAUNT3 sentences/HG_TAUNT3
HG_TAUNT4 sentences/HG_TAUNT4
HG_TAUNT5 sentences/HG_TAUNT5

// Charge
HG_CHARGE0 sentences/HG_CHARGE0
HG_CHARGE1 sentences/HG_CHARGE1
HG_CHARGE2 sentences/HG_CHARGE2
HG_CHARGE3 sentences/HG_CHARGE3

// Idle
HG_IDLE0 sentences/HG_IDLE0
HG_IDLE1 sentences/HG_IDLE1
HG_IDLE2 sentences/HG_IDLE2

HG_QUEST0 sentences/HG_QUEST0
HG_QUEST1 sentences/HG_QUEST1 
HG_QUEST2 sentences/HG_QUEST2
HG_QUEST3 sentences/HG_QUEST3
HG_QUEST4 sentences/HG_QUEST4
HG_QUEST5 sentences/HG_QUEST5
HG_QUEST6 sentences/HG_QUEST6
HG_QUEST7 sentences/HG_QUEST7
HG_QUEST8 sentences/HG_QUEST8
HG_QUEST9 sentences/HG_QUEST9
HG_QUEST10 sentences/HG_QUEST10
HG_QUEST11 sentences/HG_QUEST11

HG_ANSWER0 sentences/HG_ANSWER0
HG_ANSWER1 sentences/HG_ANSWER1
HG_ANSWER2 sentences/HG_ANSWER2
HG_ANSWER3 sentences/HG_ANSWER3
HG_ANSWER4 sentences/HG_ANSWER4
HG_ANSWER5 sentences/HG_ANSWER5
HG_ANSWER6 sentences/HG_ANSWER6

HG_CLEAR0 sentences/HG_CLEAR0
HG_CLEAR1 sentences/HG_CLEAR1
HG_CLEAR2 sentences/HG_CLEAR2
HG_CLEAR3 sentences/HG_CLEAR3
HG_CLEAR4 sentences/HG_CLEAR4
HG_CLEAR5 sentences/HG_CLEAR5
HG_CLEAR6 sentences/HG_CLEAR6
HG_CLEAR7 sentences/HG_CLEAR7
HG_CLEAR8 sentences/HG_CLEAR8
HG_CLEAR9 sentences/HG_CLEAR9
HG_CLEAR10 sentences/HG_CLEAR10
HG_CLEAR11 sentences/HG_CLEAR11
HG_CLEAR12 sentences/HG_CLEAR12

HG_CHECK0 sentences/HG_CHECK0
HG_CHECK1 sentences/HG_CHECK1
HG_CHECK2 sentences/HG_CHECK2
HG_CHECK3 sentences/HG_CHECK3
HG_CHECK4 sentences/HG_CHECK4
HG_CHECK5 sentences/HG_CHECK5
HG_CHECK6 sentences/HG_CHECK6
HG_CHECK7 sentences/HG_CHECK7

//narrative

HG_SNOOP1A hgrunt/c2a2_hg_chat1a
HG_SNOOP2A hgrunt/c2a2_hg_chat2a
HG_SNOOP3A hgrunt/c2a2_hg_chat3a
HG_SNOOP4A hgrunt/c2a2_hg_chat4a
HG_SNOOP5A hgrunt/c2a2_hg_chat5a

HG_DRAG1A hgrunt/c2a3_hg_1drag
HG_DRAG2A hgrunt/c2a3_hg_2drag
HG_DRAG3A hgrunt/c2a3_hg_3drag
HG_DRAG4A hgrunt/c2a3_hg_4drag
HG_DRAG5A hgrunt/c2a3_hg_5drag
HG_DRAG6A hgrunt/c2a3_hg_laugh

HG_SUCKS hgrunt/hg_sucks
HG_CIVVIES hgrunt/hg_civvies

// scripts for 'barney'
HG_CANAL1 hgrunt/hg_canal1
HG_CANAL2 hgrunt/hg_canal2
HG_CANAL3 hgrunt/hg_canal3

HG_GOT_BARNEY hgrunt/hg_got_barney


// BASE COMPUTER

NA0 sentences/NA0
NA1 sentences/EA0

// C1A0 intercom\

// C1A2 intercom administration center sector d

// C1A3 intercom high security materials storage area sector d

// C1A4 intercom experimental propulsion labs silo d

// C2A1 intercom track control sector e

// C2A2 intercom launch control silo e

// C2A3 observation tank1, 2. cryogenic system

// C2A4 intercom bio waste processing plant. advanced biological research lab

// C2A5 intercom tactical operations center, motorpool, armory, hydro plant, checkpoint alpha/bravo/delta, barracks, hangars
// silent

// C3A1 intercom central command and communications

// C3A2 intercom lambda reactor complex.main reactor facility. radioactive materials handling bay

// countdown

CTR0 sentences/CTR0
CTR1 sentences/CTR1
CTR2 sentences/CTR2
CTR3 sentences/CTR3
CTR4 sentences/CTR4
CTR5 sentences/CTR5
CTR6 sentences/CTR6
CTR7 sentences/CTR7
CTR8 sentences/CTR8
CTR9 sentences/CTR9
CTR10 sentences/CTR10
CTR11 sentences/CTR11
CTR12 sentences/CTR12
CTR13 sentences/CTR13
CTR14 sentences/CTR14
CTR15 sentences/CTR15
CTR16 sentences/CTR16
CTR17 sentences/CTR17
CTR18 sentences/CTR18
CTR19 sentences/CTR19
CTR20 sentences/CTR20

// doors, general
NA0 sentences/NA0
NA1 sentences/NA1
NA2 sentences/NA2
NA3 sentences/NA3
NA4 sentences/NA4
NA5 sentences/NA5
NA6 sentences/NA6
NA7 sentences/NA7
NA8 sentences/NA8
NA9 sentences/NA9
NA10 sentences/NA10
NA11 sentences/NA11
NA12 sentences/NA12
NA13 sentences/NA13
NA14 sentences/NA14
NA15 sentences/NA15
NA16 sentences/NA16
NA17 sentences/NA17
NA18 sentences/NA18
EA0 sentences/EA0
EA1 sentences/EA1
EA2 sentences/EA2
EA3 sentences/EA3
EA4 sentences/EA4
EA5 sentences/EA5
EA6 sentences/EA6
EA7 sentences/EA7
EA8 sentences/EA8

// doors, security lockout
ND0 sentences/ND0
ND1 sentences/ND1
ND2 sentences/ND2
ND3 sentences/ND3
ND4 sentences/ND4
ND5 sentences/ND5
ND6 sentences/ND6
ND7 sentences/ND7
ED0 sentences/ED0
ED1 sentences/ED1
ED2 sentences/ED2
ED3 sentences/ED3
ED4 sentences/ED4
ED5 sentences/ED5
ED6 sentences/ED6

// blast doors
NF0 sentences/NF0
NF1 sentences/NF1
NF3 sentences/NF3
EF0 sentences/EF0
EF1 sentences/EF1
EF3 sentences/EF3

// fire door
NFIRE0 sentences/NFIRE0
EFIRE0 sentences/EFIRE0

// chemical door
NCHEM0 sentences/NCHEM0
ECHEM0 sentences/ECHEM0

// radiation door
NRAD0 sentences/NRAD0
ERAD0 sentences/ERAD0

// generic containment door
NCON0 sentences/NCON0
ECON0 sentences/ECON0

// broken locked door
NG0 sentences/NG0
NG1 sentences/NG1
NG2 sentences/NG2

// maintenance door
NH0 sentences/NH0
NH1 sentences/NH1
EH0 sentences/EH0
EH1 sentences/EH1

// turrets, defensive systems
T0 sentences/T0
T1 sentences/T1
T2 sentences/T2
T3 sentences/T3
T4 sentences/T4
T5 sentences/T5

// warnings
WE0 sentences/WE0
WE1 sentences/WE1
WE2 sentences/WE2
WE3 sentences/WE3

// danger
DR0 sentences/DR0
DR1 sentences/DR1
DR2 sentences/DR2
DR3 sentences/DR3
DR4 sentences/DR4

DC0 sentences/DC0
DC1 sentences/DC1
DC2 sentences/DC2
DC3 sentences/DC3
DC4 sentences/DC4

DB0 sentences/DB0
DB1 sentences/DB1
DB2 sentences/DB2
DB3 sentences/DB3

// training room
TR_A sentences/TR_A 
TR_B sentences/ deeoo TR_B 

// VOX sounds for Barney
VOX_ELEV1 sentences/deeoo c1a1_0 deeoo deeoo c1a1_5 deeoo
VOX_ELEV2 sentences/deeoo c1a1_7 deeoo deeoo c1a1_2 deeoo


// HEV Suit
// For Barney, HEV_* have been replaced with the 'common/null' sound
// to eliminate suit sounds (since you don't have one) and avoid error messages

// powerup

HEV_AAx common/null
HEV_A0 common/null

HEV_A1 common/null
HEV_A2 common/null
HEV_A3 common/null
HEV_A4 common/null
HEV_A5 common/null
HEV_A6 common/null
HEV_A7 common/null
HEV_A8 common/null
HEV_A9 common/null
HEV_A10 common/null

// medical
HEV_DEAD0 common/null
HEV_DEAD1 common/null

HEV_MED0 common/null
HEV_MED1 common/null
HEV_MED2 common/null

HEV_HEAL0 common/null
HEV_HEAL1 common/null
HEV_HEAL2 common/null
